date,open,high,low,close
2025-01-02,4766.12,4798.51,4749.93,4788.23
2025-01-03,4785.41,4812.34,4771.06,4804.88
2025-01-06,4809.67,4835.25,4799.45,4828.52
2025-01-07,4829.10,4845.73,4815.32,4839.11
2025-01-08,4842.55,4868.67,4830.24,4859.92
2025-01-09,4855.78,4869.13,4826.88,4838.44
2025-01-10,4841.04,4866.92,4834.11,4860.70
2025-01-13,4862.65,4889.74,4856.18,4884.17
2025-01-14,4886.24,4905.63,4879.01,4896.88
2025-01-15,4892.19,4910.52,4876.42,4882.31
2025-01-16,4881.42,4922.88,4872.56,4918.70
2025-01-17,4920.11,4941.67,4910.24,4936.58
2025-01-21,4935.62,4959.44,4928.35,4952.41
2025-01-22,4950.05,4976.72,4946.81,4970.12
2025-01-23,4968.34,4983.90,4952.44,4961.18
2025-01-24,4958.11,4970.28,4934.66,4941.73
2025-01-27,4940.42,4976.50,4931.05,4972.81
2025-01-28,4970.63,4998.42,4965.14,4988.65
2025-01-29,4989.72,5021.33,4979.44,5012.76
2025-01-30,5010.12,5034.91,4998.73,5026.45
2025-01-31,5022.86,5048.10,5009.18,5042.37
2025-02-03,5045.02,5072.99,5038.11,5066.84
2025-02-04,5064.76,5086.17,5051.55,5078.22
2025-02-05,5076.88,5099.64,5060.44,5087.35
2025-02-06,5086.41,5102.78,5072.19,5098.21
2025-02-07,5097.33,5120.62,5089.44,5115.67
2025-02-10,5114.09,5142.33,5106.77,5138.48
2025-02-11,5139.56,5164.22,5127.05,5156.74
2025-02-12,5158.41,5178.35,5149.02,5166.21
2025-02-13,5164.88,5185.92,5154.66,5172.49
2025-02-14,5175.31,5198.72,5168.44,5192.06
2025-02-18,5191.22,5217.53,5184.66,5204.38
2025-02-19,5202.77,5226.81,5197.43,5211.95
2025-02-20,5209.64,5231.74,5198.15,5206.33
2025-02-21,5204.12,5224.66,5196.34,5218.78
2025-02-24,5220.47,5245.63,5214.02,5239.90
2025-02-25,5238.55,5260.48,5229.77,5251.42
2025-02-26,5250.61,5268.03,5235.44,5244.11
2025-02-27,5242.33,5263.77,5236.09,5257.94
2025-02-28,5259.12,5284.66,5247.55,5278.33
2025-03-03,5280.45,5306.72,5272.44,5298.10
2025-03-04,5296.33,5314.02,5283.51,5290.65
2025-03-05,5288.48,5320.12,5280.15,5312.56
2025-03-06,5313.77,5336.44,5306.18,5328.92
2025-03-07,5329.50,5354.10,5318.61,5348.74
2025-03-10,5349.12,5366.88,5334.55,5352.91
2025-03-11,5354.27,5378.63,5344.14,5372.48
2025-03-12,5370.66,5398.23,5361.18,5384.55
2025-03-13,5385.32,5410.75,5370.41,5396.64
2025-03-14,5394.44,5420.86,5387.73,5418.35
2025-03-17,5416.92,5438.18,5409.27,5431.76
2025-03-18,5430.58,5451.66,5418.02,5422.09
2025-03-19,5421.33,5446.98,5410.44,5439.72
2025-03-20,5438.17,5462.51,5430.11,5454.88
2025-03-21,5456.32,5481.26,5444.09,5472.63
